"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","399","427","2.348896","2.008752","1.966667"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","406","433","1.554033","2.143478","0.47219"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","407","434","1.134223","1.156256","0.575628"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","408","435","0.331923","0.28411","0.325766"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","410","437","1.59775","1.416682","0.733307"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","420","447","1.843346","1.93254","0.884781"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","474","497","0.390575","0.52845","0.229156"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","480","503","3.763872","3.314885","1.031314"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","492","514","0.767671","0.72966","0.609017"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","497","519","0.42816","0.391808","0.397016"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","505","527","0.835965","0.80356","0.377871"
"Pizarro, Choco, Colombia","CM","PIZC","4.97","-77.36","10","38","508","530","0.316133","0.328058","0.289575"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","514","535","1.048311","0.740668","0.433567"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","521","542","0.240819","0.366079","0.186974"
"Riohacha, Guajira, Colombia","CM","CGUAG","11.54","-72.9","10","28","525","546","0.446834","0.433271","0.340692"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","527","548","0.923306","1.077607","0.6643"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","535","556","0.443318","0.41147","0.243666"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","559","579","0.195946","0.25014","0.102893"
"La Plata, Huila, Colombia","CM","CPLAT","2.38","-75.91","10","1111","580","599","0.342204","0.319883","0.2311"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","616","634","0.239938","0.219423","0.096631"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","647","664","0.158742","0.154192","0.061895"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","650","667","0.099827","0.107556","0.100655"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","671","688","0.209864","0.222195","0.168912"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","701","717","0.229241","0.090207","0.082936"
"Isla Gorgona, Poblado Guapi, Cauca, Colombia","CM","GRPC","2.97","-78.17","10","13","702","718","0.103487","0.07345","0.032347"
"Guapi, Cauca, Colombia","CM","CGUAP","2.57","-77.89","10","38","706","721","1.915503","2.163503","0.165478"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","720","736","0.329582","0.410732","0.264101"
"Mocoa, Putumayo, Colombia","CM","MOCC","1.14","-76.67","10","720","742","757","0.113669","0.132339","0.075487"
"Puerto Leguizamo, Putumayo, Colombia","CM","PTLC","0.17","-74.8","10","240","763","777","0.206628","0.228146","0.085971"
"Pasto, Narino, Colombia","CM","CPAS6","1.23","-77.29","10","2504","773","787","0.385348","0.326254","0.152712"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","777","791","0.038064","0.048393","0.024995"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","779","794","0.025641","0.028072","0.022691"
"Cumbal, Narino, Colombia","CM","CUM","0.94","-77.82","10","3420","835","848","0.05921","0.048238","0.032346"
