"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","538","538","0.033353","0.027566","0.034241"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","579","580","0.007412","0.004093","0.004006"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","606","607","0.034788","0.044464","0.024335"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","612","613","0.01444","0.068386","0.076996"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","633","634","0.017382","0.019713","0.024739"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","655","656","0.010513","0.008035","0.00656"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","655","656","0.132262","0.142498","0.130005"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","659","660","0.034831","0.057923","0.045305"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","663","663","0.514423","1.083523","0.315866"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","675","676","0.024794","0.018034","0.019109"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","679","680","0.008419","0.008393","0.00705"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","696","697","0.16186","0.06909","0.105555"
"Puerto Leguizamo, Putumayo, Colombia","CM","PTLC","0.17","-74.8","10","240","700","701","0.036712","0.02866","0.051604"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","705","705","0.094036","0.063462","0.073742"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","729","729","0.017616","0.039775","0.019515"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","793","794","0.006502","0.006635","0.007627"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","794","795","0.331636","0.195574","0.146976"
"Arauca, Arauca, Colombia","CM","ARAUC","7.06","-70.71","10","129","859","860","0.0797","0.116893","0.078912"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","863","864","0.007055","0.008724","0.006378"
