"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","440","449","0.01475","0.014814","0.010087"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","444","452","0.010837","0.017189","0.006719"
"Tumaco, Narino, Colombia","CM","TUM","1.82","-78.73","10","50","445","453","0.020243","0.020821","0.009986"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","445","453","0.014698","0.015835","0.013009"
"Tumaco Armada, Narino, Colombia","CM","TUM3C","1.82","-78.74","10","14","446","454","0.419752","0.538797","0.389147"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","480","488","0.013788","0.013395","0.011231"
"Cumbal, Narino, Colombia","CM","CUM","0.94","-77.82","10","3420","486","494","0.038693","0.035391","0.011574"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","488","496","0.040376","0.036222","0.015904"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","490","497","0.056541","0.054843","0.062372"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","502","510","0.105742","0.102176","0.036579"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","512","519","0.01539","0.011437","0.008457"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","531","538","0.009667","0.011705","0.011793"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","578","585","0.008225","0.006237","0.020171"
